Names	total	elements
KCNMA1 Total Single Cell DEGs	8	DLG1
		KCNMA1
		PLCB4
		NEDD4
		RASAL2
		NRXN3
		NAV2
		NRG1
Total Single Cell DEGs	833	PRPF40A
		DNAJC6
		CLOCK
		C2CD5
		RIT2
		SLMAP
		RPTOR
		FARP1
		ERBB4
		PRKCE
		RYR3
		PNISR
		KIF26B
		RALYL
		GPHN
		LPP
		APBB2
		HERC1
		NR3C2
		ATRX
		MTF2
		TNIK
		CNTN3
		CACNA1C
		PTPRR
		SLC25A3
		MICU3
		MACF1
		CACNA1D
		ADARB1
		AMPH
		UBE2G1
		KMT2E
		TMEM178B
		PAM
		WNK2
		HNRNPH1
		COX16
		OGT
		CTNND2
		SYT1
		MBNL2
		MAST2
		TTC19
		UBASH3B
		SLTM
		SCAF8
		ATP9B
		ARHGAP32
		ATP1A3
		PHIP
		TRIO
		DPF3
		PRKN
		RTN1
		CHCHD3
		GRAMD1B
		RBFOX3
		TRPM7
		EPB41
		SCAPER
		EDIL3
		DDX5
		CACNA2D1
		NBEAL1
		ATP11B
		ZEB1
		RB1CC1
		TIA1
		CDK14
		EXT1
		PTPRS
		EXOC4
		DOCK9
		HCN1
		CPLANE1
		AMBRA1
		DLG2
		AOPEP
		NOL4
		CHD9
		PAPOLA
		PPP1R12B
		PDE1C
		OSBPL8
		KRIT1
		RORA
		PTPRD
		RALGAPB
		MED13L
		RAB3C
		NSF
		SORL1
		NFIA
		FRY
		LRRTM4
		NFASC
		ECPAS
		MDGA2
		CACNB4
		PTPRN2
		TSC22D1
		ATAD2B
		SFPQ
		NSD2
		HERC2
		ADGRB3
		DIAPH2
		LRFN5
		HOOK3
		ASCC3
		ITM2B
		MYO9A
		DIP2C
		FOXN3
		PRKCB
		NTRK2
		EIF4G3
		KIDINS220
		WDR33
		ARPP21
		PLCB1
		ROCK2
		HIVEP2
		CPEB2
		ACACA
		BPTF
		MAML2
		NPEPPS
		TENM4
		AGBL4
		CHD7
		WDFY3
		INTS6
		ARHGEF12
		DSCAML1
		SAMD12
		SLC8A1
		SNRNP70
		ANKH
		TNRC6A
		DSCAM
		PRKG1
		BIRC6
		DGKI
		FTO
		SBF2
		CADM3
		CMIP
		DMXL2
		SMYD3
		DCAF6
		PRR16
		NFIB
		CDK12
		TUT4
		DIP2B
		RAPGEF6
		SLC2A13
		NLK
		SORBS1
		DAB1
		GUCY1A2
		SPOP
		KCNC1
		NDST3
		GALNT13
		NBEA
		BCLAF1
		PACSIN1
		PPFIA2
		STAU2
		ATP6V0B
		BTG1
		ABR
		YTHDF3
		CACNA1E
		ZNF148
		CNOT4
		PAFAH1B1
		DENND1B
		CLASP1
		ENOX1
		SRRM3
		CCNY
		SNTG1
		NCAM2
		CDK13
		CNTN4
		TBC1D5
		MAGI2
		THOC2
		CEP170
		ZNF385B
		AKAP6
		LARGE1
		CHD2
		EXOC6B
		HTT
		RASGRF1
		PURA
		ATP1B1
		KIFAP3
		CSMD2
		PLCL1
		SRPK2
		RMDN1
		CSTF3
		NEO1
		PI4KA
		FRMD5
		GALNTL6
		CCAR1
		N4BP2L2
		MYT1L
		TASOR
		GRIN1
		STAG1
		PTK2
		BTRC
		VWA8
		TRIM2
		MYCBP2
		UBR3
		LIMCH1
		ANKHD1
		UMAD1
		RFX3
		BAZ2B
		ASIC2
		EML6
		CNTN1
		CKB
		ARFGEF3
		CPEB3
		SRSF11
		PCDH7
		MMP16
		CAMTA1
		TENM3
		JAKMIP2
		LINGO2
		CDH10
		OPCML
		LRRC4C
		WDR7
		CADM2
		GRM5
		ALCAM
		DENND1A
		PLCL2
		USP24
		EPHA6
		MGAT4C
		CCSER1
		PPP1R9A
		SLC12A6
		CA10
		SPIRE1
		FUS
		RSRC1
		COG5
		MYEF2
		THRB
		DCLK1
		MEF2A
		AKAP9
		CELF1
		SLC9A9
		ADGRL3
		NIPBL
		MICAL2
		ADAM23
		HDAC8
		RICTOR
		SPTBN1
		LUC7L2
		SND1
		NRG3
		MED13
		ATP8A1
		CPEB4
		TSPAN7
		ZZEF1
		TRA2A
		CHD6
		SCLT1
		NLGN1
		ABCC5
		SFSWAP
		STRBP
		FAM135B
		FAT2
		PTPRG
		IQSEC1
		GRIK2
		NCOR1
		USP34
		CDK17
		TRIP12
		ZMYND8
		SENP7
		UBE2H
		MBD5
		APLP2
		MICAL3
		ADK
		MAPK10
		MSI2
		ZNF609
		ABI2
		FAM135A
		TMCC1
		CDH2
		USP32
		GRID2
		CALN1
		NCAM1
		ELMO1
		LRRC7
		MTDH
		EPHA5
		LRRTM3
		CLSTN2
		AHCYL2
		SEMA6D
		ARIH1
		PCMTD1
		PPM1L
		UBAP2L
		SPTAN1
		SYNE1
		SGIP1
		RBM5
		TENM2
		SLF2
		NCOA1
		UBN2
		GTDC1
		EHMT1
		GLG1
		CNTNAP2
		CACNA1B
		RABEP1
		NEBL
		RYR2
		KCNQ5
		PICALM
		MARK3
		QRICH1
		ZBTB20
		FBXL17
		ZNF407
		MAP2
		CAMK4
		PJA2
		ASB3
		ENAH
		TCF4
		ARHGAP5
		ATP2C1
		NKTR
		CAMK1D
		DYNC1I1
		DST
		FAT3
		DZIP3
		CACNB2
		NUMB
		HDAC9
		EPB41L1
		PAN3
		FUBP1
		AHI1
		DYM
		TOM1L2
		TNRC6C
		CELF2
		KMT2A
		COP1
		ZEB2
		UBE2W
		FOCAD
		STOX2
		WSCD2
		CLCN3
		PBX1
		RBFOX2
		ESYT2
		KIAA1549L
		OSBPL9
		PDE4B
		PBRM1
		ASH1L
		PPP1R12A
		HECTD4
		MTCL1
		PHF14
		PHACTR1
		CSNK1G1
		DGKD
		RBM6
		ATP1A1
		USP9X
		SORBS2
		PCLO
		EML5
		PIK3R3
		CADM1
		KLHL29
		ZFAND3
		DOP1A
		SGCD
		HUWE1
		DDX17
		GNAO1
		SCHIP1
		KLHDC10
		SCN1A
		TMEM108
		PDE4DIP
		MSRA
		ASPH
		PKIA
		OXCT1
		ANKRD12
		PEG3
		PRPF39
		GABRB3
		TMEM163
		PCDH9
		TRPM3
		YLPM1
		ZMYM4
		SV2B
		GBF1
		AKAP8L
		HECW2
		PPM1H
		UBR5
		SEZ6L
		HMGCLL1
		TENM1
		RALGPS1
		MED12L
		GRM7
		UPP2
		MAP1B
		NKAIN2
		PEAK1
		GLS
		RALGAPA2
		ZFPM2
		FTH1
		SLC35F1
		FAF1
		ROBO2
		RAPGEF2
		BEND6
		CSNK1G3
		EWSR1
		NAV3
		KIAA1217
		GABRB1
		CDH7
		ITSN1
		CAMK2B
		ANKS1B
		ZMYND11
		SMG6
		CDH18
		NTM
		APBA2
		GRIP1
		AFF4
		TTC3
		VTI1A
		ASAP1
		CADPS2
		ZIC1
		SRGAP3
		ACAP2
		NT5C2
		LYST
		NCALD
		FRMPD4
		SPOCK3
		MEIS1
		GALNT17
		UNC80
		UBE2E2
		NSD1
		R3HDM2
		ATP2B2
		RSRP1
		ZMYM2
		UNC79
		CIT
		FYN
		ATP6V0A1
		IMMP2L
		ANK2
		NALCN
		GTF2I
		CREBBP
		KCNN2
		KCTD8
		SYNJ1
		ASTN2
		PHF20L1
		RIF1
		RBM26
		BRINP3
		PTBP2
		PPP2R2B
		GPATCH8
		TANC2
		ATXN1
		CSPP1
		KIRREL3
		FAM168A
		RASA1
		CSMD3
		ARFGEF1
		DLGAP1
		FGFR2
		PATJ
		ITCH
		ZFR
		FAM193A
		KIF21A
		REV3L
		LRBA
		ULK2
		NRCAM
		NCOA2
		MAML3
		UNC13C
		RGS7
		MAP7
		SPAG9
		GRIN2B
		RIMS2
		BICD1
		NPTN
		DMD
		LIN7A
		ZCCHC7
		SUSD6
		FOXP1
		LRP1B
		RABGAP1L
		ROBO1
		TCF20
		TTC14
		CD47
		KCNQ3
		GRIA1
		NOVA1
		STXBP5
		KALRN
		KCNH7
		KCTD16
		DENND4A
		MKLN1
		ANKRD11
		HS6ST3
		RBM39
		SLC25A12
		NF1
		PKP4
		RALGAPA1
		SLC44A1
		GRM4
		NEGR1
		KSR2
		GPM6B
		MYO5A
		CKAP5
		TTC17
		MAP4K3
		REV1
		RUFY3
		ASTN1
		DLGAP2
		PLD5
		RABGAP1
		SIPA1L1
		FGF12
		ANKRD17
		ARL15
		DGKB
		PAK3
		ANK3
		ATRNL1
		CHN2
		REPS2
		SPHKAP
		GARNL3
		HIVEP3
		TMEM135
		KANSL1
		DNMT3A
		BTBD9
		CLIP1
		GABBR2
		PDS5B
		KCND2
		CDKL5
		SETD5
		SMARCA2
		RUNX1T1
		PIP5K1B
		UST
		ATP8A2
		TLL1
		NRG2
		ADD1
		SCAI
		NHSL2
		ATXN2
		PRRC2C
		PCDH15
		DNAJC1
		KLF12
		GABRG3
		UBE3A
		NR6A1
		TOP2B
		NFAT5
		SOBP
		ARID4B
		DNM1L
		SGCZ
		SH3GL2
		GMDS
		NSD3
		STRN3
		PPP2R5E
		PLCXD3
		TAF15
		GALNT7
		ZSWIM6
		SPECC1
		GRIA4
		MEGF11
		DMXL1
		DCC
		CERS6
		SCMH1
		DENND5B
		GRM1
		DOCK3
		PDE4D
		CNTN5
		UBE3C
