Names	total	elements
TIA1 TOTAL_SC	14	PRPF40A
		EPB41
		TIA1
		ZNF148
		EXOC6B
		FUS
		CPEB4
		SENP7
		MAPK10
		QRICH1
		ASB3
		NKTR
		FYN
		PTBP2
TOTAL_SC	827	DNAJC6
		CLOCK
		C2CD5
		RIT2
		SLMAP
		RPTOR
		FARP1
		ERBB4
		PRKCE
		RYR3
		DLG1
		PNISR
		KCNMA1
		KIF26B
		RALYL
		GPHN
		LPP
		APBB2
		HERC1
		NR3C2
		ATRX
		MTF2
		TNIK
		CNTN3
		CACNA1C
		PTPRR
		SLC25A3
		MACF1
		MICU3
		CACNA1D
		ADARB1
		AMPH
		UBE2G1
		KMT2E
		TMEM178B
		PAM
		WNK2
		HNRNPH1
		COX16
		OGT
		CTNND2
		SYT1
		MBNL2
		MAST2
		TTC19
		UBASH3B
		SLTM
		SCAF8
		ATP9B
		ARHGAP32
		ATP1A3
		PHIP
		TRIO
		DPF3
		PRKN
		CHCHD3
		RTN1
		GRAMD1B
		RBFOX3
		TRPM7
		EDIL3
		SCAPER
		DDX5
		NBEAL1
		CACNA2D1
		ATP11B
		ZEB1
		RB1CC1
		CDK14
		EXT1
		PTPRS
		EXOC4
		DOCK9
		HCN1
		CPLANE1
		AMBRA1
		DLG2
		AOPEP
		NOL4
		CHD9
		PAPOLA
		PPP1R12B
		PDE1C
		OSBPL8
		KRIT1
		RORA
		PTPRD
		RALGAPB
		MED13L
		RAB3C
		NSF
		SORL1
		NFIA
		FRY
		LRRTM4
		NFASC
		ECPAS
		MDGA2
		CACNB4
		PTPRN2
		TSC22D1
		ATAD2B
		SFPQ
		NSD2
		HERC2
		ADGRB3
		LRFN5
		DIAPH2
		HOOK3
		ASCC3
		DIP2C
		MYO9A
		ITM2B
		NTRK2
		PRKCB
		FOXN3
		EIF4G3
		KIDINS220
		WDR33
		ARPP21
		PLCB1
		PLCB4
		HIVEP2
		ROCK2
		ACACA
		CPEB2
		BPTF
		MAML2
		NPEPPS
		CHD7
		AGBL4
		TENM4
		WDFY3
		INTS6
		ARHGEF12
		DSCAML1
		SAMD12
		SLC8A1
		SNRNP70
		ANKH
		TNRC6A
		PRKG1
		DSCAM
		BIRC6
		DGKI
		FTO
		SBF2
		CADM3
		CMIP
		DMXL2
		SMYD3
		DCAF6
		PRR16
		NFIB
		CDK12
		TUT4
		DIP2B
		RAPGEF6
		SLC2A13
		NLK
		SORBS1
		DAB1
		GUCY1A2
		SPOP
		KCNC1
		NDST3
		GALNT13
		NBEA
		NEDD4
		BCLAF1
		PACSIN1
		PPFIA2
		STAU2
		ATP6V0B
		BTG1
		ABR
		YTHDF3
		CACNA1E
		CNOT4
		PAFAH1B1
		DENND1B
		CLASP1
		ENOX1
		SRRM3
		CCNY
		NCAM2
		SNTG1
		CDK13
		CNTN4
		TBC1D5
		MAGI2
		THOC2
		CEP170
		ZNF385B
		LARGE1
		AKAP6
		CHD2
		HTT
		RASGRF1
		PURA
		ATP1B1
		KIFAP3
		CSMD2
		PLCL1
		SRPK2
		RMDN1
		CSTF3
		NEO1
		FRMD5
		PI4KA
		GALNTL6
		CCAR1
		N4BP2L2
		MYT1L
		TASOR
		GRIN1
		STAG1
		PTK2
		TRIM2
		BTRC
		VWA8
		MYCBP2
		UBR3
		LIMCH1
		ANKHD1
		UMAD1
		RFX3
		BAZ2B
		ASIC2
		EML6
		CNTN1
		CKB
		ARFGEF3
		CPEB3
		PCDH7
		SRSF11
		MMP16
		TENM3
		CAMTA1
		CDH10
		LINGO2
		JAKMIP2
		OPCML
		WDR7
		LRRC4C
		GRM5
		CADM2
		ALCAM
		DENND1A
		PLCL2
		USP24
		MGAT4C
		EPHA6
		CCSER1
		PPP1R9A
		SLC12A6
		CA10
		SPIRE1
		RSRC1
		COG5
		MYEF2
		THRB
		DCLK1
		MEF2A
		AKAP9
		CELF1
		SLC9A9
		ADGRL3
		NIPBL
		MICAL2
		ADAM23
		HDAC8
		RICTOR
		SPTBN1
		LUC7L2
		SND1
		NRG3
		MED13
		ATP8A1
		TSPAN7
		ZZEF1
		TRA2A
		CHD6
		SCLT1
		NLGN1
		ABCC5
		SFSWAP
		STRBP
		FAM135B
		FAT2
		PTPRG
		IQSEC1
		GRIK2
		NCOR1
		USP34
		CDK17
		TRIP12
		ZMYND8
		UBE2H
		MBD5
		APLP2
		MICAL3
		ADK
		MSI2
		ZNF609
		ABI2
		FAM135A
