Names	total	elements
Fyn TOTAL_SC	11	HERC1
		TNIK
		MAML2
		ANKH
		CNOT4
		CELF2
		FYN
		BTBD9
		KLF12
		EPC1
		AAK1
TOTAL_SC	830	DNAJC6
		PRPF40A
		C2CD5
		CLOCK
		RIT2
		RPTOR
		SLMAP
		FARP1
		RYR3
		PRKCE
		ERBB4
		DLG1
		KCNMA1
		PNISR
		KIF26B
		RALYL
		GPHN
		APBB2
		LPP
		NR3C2
		MTF2
		ATRX
		CNTN3
		CACNA1C
		PTPRR
		SLC25A3
		MICU3
		MACF1
		CACNA1D
		ADARB1
		AMPH
		PAM
		TMEM178B
		KMT2E
		UBE2G1
		WNK2
		HNRNPH1
		COX16
		CTNND2
		OGT
		MBNL2
		SYT1
		TTC19
		MAST2
		UBASH3B
		SCAF8
		SLTM
		ATP9B
		ARHGAP32
		ATP1A3
		TRIO
		PHIP
		PRKN
		DPF3
		CHCHD3
		RTN1
		GRAMD1B
		TRPM7
		RBFOX3
		EPB41
		SCAPER
		EDIL3
		DDX5
		ATP11B
		CACNA2D1
		NBEAL1
		ZEB1
		RB1CC1
		CDK14
		TIA1
		PTPRS
		EXT1
		EXOC4
		HCN1
		DOCK9
		CPLANE1
		DLG2
		AMBRA1
		CHD9
		NOL4
		AOPEP
		PAPOLA
		PDE1C
		PPP1R12B
		OSBPL8
		KRIT1
		PTPRD
		RORA
		RALGAPB
		MED13L
		RAB3C
		NSF
		NFIA
		SORL1
		FRY
		LRRTM4
		NFASC
		MDGA2
		ECPAS
		PTPRN2
		CACNB4
		TSC22D1
		ATAD2B
		SFPQ
		NSD2
		HERC2
		ADGRB3
		DIAPH2
		LRFN5
		HOOK3
		ASCC3
		ITM2B
		MYO9A
		DIP2C
		FOXN3
		PRKCB
		NTRK2
		EIF4G3
		KIDINS220
		WDR33
		ARPP21
		PLCB4
		PLCB1
		ROCK2
		HIVEP2
		CPEB2
		ACACA
		BPTF
		TENM4
		AGBL4
		CHD7
		NPEPPS
		WDFY3
		INTS6
		DSCAML1
		ARHGEF12
		SAMD12
		SLC8A1
		SNRNP70
		TNRC6A
		DSCAM
		PRKG1
		BIRC6
		DGKI
		FTO
		CMIP
		CADM3
		SBF2
		DMXL2
		DCAF6
		SMYD3
		PRR16
		CDK12
		NFIB
		DIP2B
		TUT4
		RAPGEF6
		NLK
		SLC2A13
		SORBS1
		DAB1
		GUCY1A2
		KCNC1
		SPOP
		NDST3
		NBEA
		GALNT13
		BCLAF1
		NEDD4
		PACSIN1
		STAU2
		PPFIA2
		ABR
		BTG1
		ATP6V0B
		CACNA1E
		YTHDF3
		ZNF148
		PAFAH1B1
		DENND1B
		CLASP1
		ENOX1
		CCNY
		SRRM3
		SNTG1
		NCAM2
		CDK13
		TBC1D5
		CNTN4
		MAGI2
		THOC2
		CEP170
		LARGE1
		AKAP6
		ZNF385B
		CHD2
		EXOC6B
		HTT
		RASGRF1
		PURA
		ATP1B1
		KIFAP3
		CSMD2
		SRPK2
		PLCL1
		RMDN1
		CSTF3
		NEO1
		FRMD5
		PI4KA
		GALNTL6
		CCAR1
		N4BP2L2
		MYT1L
		TASOR
		GRIN1
		STAG1
		PTK2
		BTRC
		VWA8
		TRIM2
		MYCBP2
		UBR3
		LIMCH1
		ANKHD1
		UMAD1
		RFX3
		BAZ2B
		ASIC2
		EML6
		CNTN1
		CKB
		ARFGEF3
		CPEB3
		SRSF11
		PCDH7
		MMP16
		CAMTA1
		TENM3
		JAKMIP2
		OPCML
		LINGO2
		CDH10
		LRRC4C
		WDR7
		CADM2
		GRM5
		DENND1A
		ALCAM
		PLCL2
		USP24
		EPHA6
		MGAT4C
		CCSER1
		PPP1R9A
		SLC12A6
		CA10
		SPIRE1
		FUS
		RSRC1
		COG5
		DCLK1
		THRB
		MYEF2
		AKAP9
		MEF2A
		CELF1
		SLC9A9
		ADGRL3
		MICAL2
		NIPBL
		ADAM23
		HDAC8
		LUC7L2
		SPTBN1
		RICTOR
		NRG3
		SND1
		CPEB4
		ATP8A1
		MED13
		ZZEF1
		TSPAN7
		TRA2A
		CHD6
		SCLT1
		NLGN1
		STRBP
		SFSWAP
		ABCC5
		FAT2
		FAM135B
		PTPRG
		NCOR1
		GRIK2
		IQSEC1
		USP34
		TRIP12
		CDK17
		ZMYND8
		SENP7
		UBE2H
		MBD5
		APLP2
		MICAL3
		ADK
		MAPK10
		ABI2
		ZNF609
		MSI2
		CDH2
		TMCC1
		FAM135A
		USP32
		CALN1
		GRID2
		ELMO1
		NCAM1
		LRRC7
		MTDH
		EPHA5
		AHCYL2
		CLSTN2
		LRRTM3
		SEMA6D
		ARIH1
		PCMTD1
		SPTAN1
		UBAP2L
		PPM1L
		SGIP1
		SYNE1
		RBM5
		TENM2
		NCOA1
		SLF2
		GTDC1
		UBN2
		EHMT1
		CNTNAP2
		GLG1
		CACNA1B
		RABEP1
		NEBL
		RYR2
		KCNQ5
		MARK3
		PICALM
		ZBTB20
		QRICH1
		FBXL17
		MAP2
		ZNF407
		CAMK4
		PJA2
		ASB3
		ENAH
		TCF4
		ATP2C1
		ARHGAP5
		NKTR
		CAMK1D
		DYNC1I1
		FAT3
		DST
		CACNB2
		DZIP3
		HDAC9
		NUMB
		AHI1
		FUBP1
		PAN3
		EPB41L1
		TNRC6C
		TOM1L2
		DYM
		KMT2A
		ZEB2
		COP1
		FOCAD
		UBE2W
		STOX2
		WSCD2
		CLCN3
		PBX1
		ESYT2
		RBFOX2
		KIAA1549L
		OSBPL9
		PBRM1
		PDE4B
		PPP1R12A
		ASH1L
		MTCL1
		HECTD4
		PHACTR1
		PHF14
		CSNK1G1
		DGKD
		ATP1A1
		RBM6
		SORBS2
		USP9X
		EML5
		PCLO
		CADM1
		PIK3R3
		KLHL29
		ZFAND3
		DOP1A
		SGCD
		DDX17
		HUWE1
		SCN1A
		KLHDC10
		SCHIP1
		GNAO1
		TMEM108
		PDE4DIP
		MSRA
		ASPH
		PKIA
		OXCT1
		ANKRD12
		PEG3
		PRPF39
		GABRB3
		TMEM163
		PCDH9
		TRPM3
		YLPM1
		ZMYM4
		SV2B
		GBF1
		HECW2
		AKAP8L
		PPM1H
		UBR5
		SEZ6L
		HMGCLL1
		TENM1
		RALGPS1
		MED12L
		MAP1B
		GRM7
		UPP2
		NKAIN2
		PEAK1
		GLS
		ZFPM2
		RALGAPA2
		FTH1
		SLC35F1
		FAF1
		ROBO2
		RAPGEF2
		BEND6
		CSNK1G3
		EWSR1
		NAV3
		KIAA1217
		GABRB1
		CDH7
		ITSN1
		CAMK2B
		ZMYND11
		ANKS1B
		SMG6
		CDH18
		NTM
		APBA2
		GRIP1
		AFF4
		TTC3
		VTI1A
		ASAP1
		CADPS2
		ZIC1
		SRGAP3
		ACAP2
		NT5C2
		LYST
		NCALD
		FRMPD4
		SPOCK3
		MEIS1
		GALNT17
		UNC80
		UBE2E2
		NSD1
		R3HDM2
		ATP2B2
		RSRP1
		ZMYM2
		UNC79
		CIT
		ATP6V0A1
		RASAL2
		IMMP2L
		ANK2
		NALCN
		GTF2I
		CREBBP
		KCNN2
		SYNJ1
		KCTD8
		ASTN2
		RIF1
		PHF20L1
		RBM26
		BRINP3
		PTBP2
		PPP2R2B
		GPATCH8
		ATXN1
		TANC2
		CSPP1
		KIRREL3
		RASA1
		FAM168A
		ARFGEF1
		CSMD3
		FGFR2
		DLGAP1
		PATJ
		ITCH
		ZFR
		KIF21A
		FAM193A
		REV3L
		LRBA
		ULK2
		NRCAM
		NCOA2
		UNC13C
		MAML3
		RGS7
		MAP7
		SPAG9
		GRIN2B
		NRXN3
		RIMS2
		BICD1
		NPTN
		LIN7A
		DMD
		ZCCHC7
		FOXP1
		SUSD6
		LRP1B
		ROBO1
		RABGAP1L
		TTC14
		TCF20
		CD47
		KCNQ3
		GRIA1
		NOVA1
		STXBP5
		KCNH7
		KALRN
		KCTD16
		DENND4A
		HS6ST3
		ANKRD11
		MKLN1
		RBM39
		SLC25A12
		NF1
		RALGAPA1
		PKP4
		SLC44A1
		GRM4
		NEGR1
		KSR2
		GPM6B
		MYO5A
		CKAP5
		REV1
		MAP4K3
		TTC17
		ASTN1
		RUFY3
		DLGAP2
		NAV2
		PLD5
		RABGAP1
		FGF12
		SIPA1L1
		ARL15
		ANKRD17
		DGKB
		PAK3
		ANK3
		ATRNL1
		REPS2
		CHN2
		SPHKAP
		HIVEP3
		GARNL3
		TMEM135
		DNMT3A
		KANSL1
		CLIP1
		GABBR2
		KCND2
		CDKL5
		PDS5B
		SETD5
		RUNX1T1
		SMARCA2
		PIP5K1B
		UST
		TLL1
		ATP8A2
		SCAI
		ADD1
		NRG2
		NHSL2
		ATXN2
		PRRC2C
		PCDH15
		DNAJC1
		UBE3A
		GABRG3
		NR6A1
		NFAT5
		TOP2B
		SOBP
		ARID4B
		DNM1L
		SGCZ
		SH3GL2
		GMDS
		STRN3
		NSD3
		PPP2R5E
		PLCXD3
		TAF15
		GALNT7
		ZSWIM6
		SPECC1
		MEGF11
		DMXL1
		GRIA4
		DCC
		SCMH1
		CERS6
		GRM1
		DENND5B
		DOCK3
		PDE4D
		CNTN5
		UBE3C
		TJP1
		CTNNA2
		ERC2
		PTPRT
		R3HDM1
		PRICKLE1
		RSF1
		TRHDE
		ETNK1
		ZNF536
		MAP2K4
		PTPN4
		SRSF5
		DOK6
		TRIM9
		POU2F1
		APC
		CSMD1
		PEX5L
		OLFM3
		SGMS1
		SLC24A2
		SBNO1
		WNK1
		DOCK7
		RBM25
		PPM1E
		PLEKHA5
		RFX7
		DOCK4
		RELN
		GRIN2A
		MAST4
		MACROD2
		ST7
		GATAD2B
		VPS13C
		FMNL2
		TRPS1
		VPS13A
		XKR4
		NRXN1
		STMN2
		FRMD4A
		GRIA3
		ETV1
		B3GALT1
		NTRK3
		MLLT3
		UBE2B
		TMEFF2
		RGS7BP
		AUTS2
		BACH2
		NRG1
		ROR1
		JAZF1
		WWOX
		TMEM132A
		PPP2R3A
		NELL2
		DYNC1I2
		DYNC2H1
		CSNK1A1
		MTMR3
		ARID1B
		GABRA6
		FAM13B
		TAOK1
		HNRNPU
		CYFIP2
		CHKA
		PCSK2
		SLC4A4
		IL1RAPL1
		TMEM178A
		MAGI1
		CASK
		BRAF
		NDFIP1
		TRMT9B
		CALM2
		TNR
		WAC
		DPP10
		ADCY9
		SRRM2
		GSK3B
		KIF1B
		DIS3L2
		DTNA
		SNAP91
		CELF4
		AKT3
		CDKAL1
		RAPGEF4
		BCAS3
		KIF5C
		KTN1
		EHBP1
		GPM6A
		NPAS3
		FARS2
		FUT8
		PRKCA
		KMT2C
		PIAS1
		SNX29
		MRTFB
		ARGLU1
		ST6GALNAC3
		CLASP2
		CLTC
		ZNF521
		CNTN6
		FMN2
		PSME4
		FGF14
		ERC1
		POLB
		TTC7B
		SSBP2
		DDX50
		KAT6B
		PRICKLE2
		CSRNP3
		GRIA2
		APP
		ATP2B1
		ATF7IP
		DPP6
		LSAMP
		ABLIM1
		KIAA0825
		PSMD14
		BTAF1
		ZNF280D
		STK39
		PHF21A
		ADCY1
		CTTNBP2
		ELAVL3
		AGO3
		GRID1
		NYAP2
		USP3
		VPS13B
		PSD3
		ST18
		FNBP1
		TNRC6B
		PUM1
		RERE
		ZFYVE9
		CCDC88A
		SRRM1
		HECW1
		TMTC2
		CACNA2D3
		PCSK1N
		MCTP1
		PABPN1
		MEF2C
		ZNF608
		PDE3B
		PLXNA4
		SLC4A10
		PHLPP1
		RAP1GDS1
		SYN2
		TOP1
		AFF3
		CLK1
		NCKAP1
		ZNF638
		PKN2
Fyn	62	ERCC5
		HERPUD2
		SIGIRR
		NTRK1
		USF2
		ARHGAP9
		LAX1
		FAM96B
		USP6NL
		RNF216
		PCGF5
		ZNF571
		APOL6
		DDB2
		RAB2B
