"","RR3_BRN_GC_G7","RR3_BRN_GC_G8","RR3_BRN_GC_G9","RR3_BRN_FLT_F1","RR3_BRN_FLT_F2","RR3_BRN_FLT_F7"
"ENSMUSG00000000001",1219.95034861334,1082.90898607776,980.723034640767,926.264626153048,992.317262218676,1125.33112013711
"ENSMUSG00000000028",67.3155045669757,50.4177722762957,65.5249231778076,50.2552606027981,37.1209629761347,37.3148934108086
"ENSMUSG00000000031",71.8914265515501,92.7750017540807,42.2404361418779,42.4121397357235,18.3189485453487,55.1310040053598
"ENSMUSG00000000037",8.20714750066649,61.1529085445633,5.34589340264965,18.0605999086208,26.0532613580371,11.8742445685146
"ENSMUSG00000000049",10.1819818670789,2.32862777139104,5.66902190408061,9.10441896709956,0,12.3717422844542
"ENSMUSG00000000056",1561.62274618114,1959.48301267231,1795.67241401073,1724.35307505974,1944.49844482693,1609.59568623227
"ENSMUSG00000000058",697.294933912095,773.07948723151,546.350029095495,505.35499726921,649.275354083827,617.261603988916
"ENSMUSG00000000078",2825.0539885552,3733.24445827294,2588.15558061016,2915.90422417099,2474.18304208155,2993.2451086992
"ENSMUSG00000000085",1487.44864840691,1525.21867495906,1114.07717044969,1335.92279806866,1410.92105579509,1267.16590562857
"ENSMUSG00000000088",1212.9083083094,882.885322888301,725.85460566357,801.554744135301,1003.41710439646,1244.24619745727
"ENSMUSG00000000093",33.8109379780796,46.0586566658944,21.8803211287525,36.2306499916834,40.0204011207678,43.6744214835284
"ENSMUSG00000000094",2.90655347910714,4.71525393277485,4.98941627478004,1.03796570859284,9.33459344944714,12.2256923160028
"ENSMUSG00000000120",23.1833896522704,15.0399535650355,22.875825388772,20.7010942606161,44.2379088454113,21.3289534277392
"ENSMUSG00000000125",21.248621879544,22.5613731779745,23.872843262322,33.1133762211499,20.017753241147,27.421630139094
"ENSMUSG00000000126",396.032825668605,293.285075177847,371.992820296731,378.799483001275,564.608233673327,395.087454448811
"ENSMUSG00000000127",1933.3346677106,1855.83494715861,1856.13679302551,1743.28255600466,1958.46092262305,1910.65406794205
"ENSMUSG00000000131",2832.28562579409,3061.49619478419,3557.70091133956,3847.61613225846,3709.35580983985,2626.98763354224
"ENSMUSG00000000134",1254.42196345053,1131.58463916979,1015.1235152736,1145.1971001177,1010.84267916771,1171.86620686282
"ENSMUSG00000000142",1157.09412913173,1068.57953698253,1205.52853171182,1304.97586024665,1277.68747093242,1071.18058016905
