ensembl_gene_id,gene_name
ENSMUSG00000001021,S100a3
ENSMUSG00000001473,Tubb6
ENSMUSG00000003346,Abhd17a
ENSMUSG00000006143,Upk3bl
ENSMUSG00000007591,Tssk4
ENSMUSG00000020051,Pah
ENSMUSG00000020377,Ltc4s
ENSMUSG00000020513,Tubd1
ENSMUSG00000020866,Cacna1g
ENSMUSG00000022021,Diaph3
ENSMUSG00000022129,Dct
ENSMUSG00000022603,Mroh4
ENSMUSG00000022610,Mapk12
ENSMUSG00000022759,Lrrc74b
ENSMUSG00000023829,Slc22a1
ENSMUSG00000024186,Rgs11
ENSMUSG00000024658,Gm9750
ENSMUSG00000025727,Prr35
ENSMUSG00000025902,Sox17
ENSMUSG00000025977,Boll
ENSMUSG00000026278,Bok
ENSMUSG00000026308,Klhl30
ENSMUSG00000026639,Lamb3
ENSMUSG00000027306,Nusap1
ENSMUSG00000027315,Spint1
ENSMUSG00000027335,Adra1d
ENSMUSG00000028262,Clca3a2
ENSMUSG00000029304,Spp1
ENSMUSG00000029526,1700123K08Rik
ENSMUSG00000029545,Acads
ENSMUSG00000029570,Lfng
ENSMUSG00000030124,Lag3
ENSMUSG00000030589,Rasgrp4
ENSMUSG00000030972,Acsm5
ENSMUSG00000031807,Pgls
ENSMUSG00000032013,Trim29
ENSMUSG00000032523,Hhatl
ENSMUSG00000032572,Col6a4
ENSMUSG00000033633,Clec18a
ENSMUSG00000033726,Emx1
ENSMUSG00000033967,Rnf225
ENSMUSG00000035121,Neil2
ENSMUSG00000035299,Mid1
ENSMUSG00000035355,Kcnh4
ENSMUSG00000036634,Mag
ENSMUSG00000037166,Ppp1r14a
ENSMUSG00000037977,6430571L13Rik
ENSMUSG00000038624,Nepn
ENSMUSG00000040298,Btbd16
ENSMUSG00000041193,Pla2g5
ENSMUSG00000043155,Hpdl
ENSMUSG00000044583,Tlr7
ENSMUSG00000045027,Prss22
ENSMUSG00000045475,Lce3c
ENSMUSG00000046961,Gpr156
ENSMUSG00000047759,Hs3st3a1
ENSMUSG00000048677,Tpcn2
ENSMUSG00000048758,Rpl29
ENSMUSG00000050122,Vwa3b
ENSMUSG00000054362,Cimap2
ENSMUSG00000054885,4930578G10Rik
ENSMUSG00000055125,M5C1000I18Rik
ENSMUSG00000055172,C1ra
ENSMUSG00000055523,Gucy2g
ENSMUSG00000056380,Gpr50
ENSMUSG00000056895,H2bc27
ENSMUSG00000057751,Megf6
ENSMUSG00000059900,Tmem40
ENSMUSG00000062939,Stat4
ENSMUSG00000063529,Stmnd1
ENSMUSG00000064023,Klk8
ENSMUSG00000065297,Gm26123
ENSMUSG00000065407,Mir135a-1
ENSMUSG00000065999,Zfp985
ENSMUSG00000066170,E230001N04Rik
ENSMUSG00000068686,Cd59b
ENSMUSG00000070072,Mir433
ENSMUSG00000070719,Pla2g4d
ENSMUSG00000072844,G530011O06Rikx
ENSMUSG00000072878,Nup50l
ENSMUSG00000074063,Osgin1
ENSMUSG00000074796,Slc4a11
ENSMUSG00000074899,Sptbn5
ENSMUSG00000078201,Tmem203
ENSMUSG00000078815,Cacng6
ENSMUSG00000079105,C7
ENSMUSG00000081316,Gm16205
ENSMUSG00000081811,Gm12713
ENSMUSG00000083833,Gm13841
ENSMUSG00000084289,Fth1-ps
ENSMUSG00000084487,Gm23787
ENSMUSG00000085055,Gm15958
ENSMUSG00000085071,Gm14066
ENSMUSG00000085755,Gm13496
ENSMUSG00000086548,Gm12972
ENSMUSG00000086806,Gm13054
ENSMUSG00000086844,B230206H07Rik
ENSMUSG00000086952,Gm12596
ENSMUSG00000087343,1700021N21Rik
ENSMUSG00000087461,C230014O12Rik
ENSMUSG00000087478,4930506C21Rik
ENSMUSG00000087652,Gm15918
ENSMUSG00000088318,Gm26187
ENSMUSG00000088695,Gm22334
ENSMUSG00000089815,Gm5083
ENSMUSG00000090707,Gm8237
ENSMUSG00000091455,Otogl
ENSMUSG00000091712,Sec14l5
ENSMUSG00000091785,Rpl29-ps5
ENSMUSG00000092048,Vmn2r85
ENSMUSG00000092162,Vmn2r86
ENSMUSG00000092519,Actl9
ENSMUSG00000093394,Gm20621
ENSMUSG00000093460,Six3os1
ENSMUSG00000093575,Gm20695
ENSMUSG00000096001,Gpr15lg
ENSMUSG00000097074,4833428L15Rik
ENSMUSG00000097107,Platr6
ENSMUSG00000097893,1700034P13Rik
ENSMUSG00000099663,Gm29201
ENSMUSG00000099907,Gm10421
ENSMUSG00000101011,Gm29398
ENSMUSG00000101814,Gm17807
ENSMUSG00000102152,Gm37475
ENSMUSG00000102326,Gm37788
ENSMUSG00000102406,A730094K22Rik
ENSMUSG00000102549,Gm38137
ENSMUSG00000103030,E330011M16Rik
ENSMUSG00000103035,Gm37122
ENSMUSG00000103135,Gm37979
ENSMUSG00000103225,Gm37731
ENSMUSG00000103544,Gm10048
ENSMUSG00000104277,Gm38299
ENSMUSG00000104494,Gm37111
ENSMUSG00000104525,Gm37334
ENSMUSG00000104661,Gm42768
ENSMUSG00000104784,Gm42984
ENSMUSG00000104841,Gm17743
ENSMUSG00000104860,Gm42510
ENSMUSG00000105023,1700012D16Rik
ENSMUSG00000105402,Gm3716
ENSMUSG00000105454,Gm43830
ENSMUSG00000105583,Gm43777
ENSMUSG00000105976,Gm42782
ENSMUSG00000106706,C530043K16Rik
ENSMUSG00000107320,Gm42549
ENSMUSG00000107858,Gm43879
ENSMUSG00000107971,Gm44260
ENSMUSG00000107996,Gm44228
ENSMUSG00000108271,Gm44236
ENSMUSG00000108753,Gm45094
ENSMUSG00000108866,Gm35082
ENSMUSG00000108871,Gm45102
ENSMUSG00000109136,Gm45114
ENSMUSG00000109704,Gm38414
ENSMUSG00000110070,Gm45619
ENSMUSG00000110344,Smim36
ENSMUSG00000110455,Gm45904
ENSMUSG00000110997,2610028D06Rik
ENSMUSG00000111169,Gm34004
ENSMUSG00000111355,Idi1-ps3
ENSMUSG00000111620,Gm31848
ENSMUSG00000111839,Gm39383
ENSMUSG00000112265,Gm34983
ENSMUSG00000112597,Gm4777
ENSMUSG00000112627,4933412E12Rik
ENSMUSG00000112641,Gm40709
ENSMUSG00000112723,Gm9110
ENSMUSG00000113073,Gm48261
ENSMUSG00000113432,8430406P12Rik
ENSMUSG00000113527,Gm48079
ENSMUSG00000113756,Gm18025
ENSMUSG00000113865,Selenok-ps6
ENSMUSG00000114189,9330199G10Rik
ENSMUSG00000114621,Gm31107
ENSMUSG00000114792,Gm6416
ENSMUSG00000115631,Gm19371
ENSMUSG00000115771,Gm49312
ENSMUSG00000116114,Gm35853
ENSMUSG00000116572,Gm49695
ENSMUSG00000116656,Gm49708
ENSMUSG00000117066,Gm49860
ENSMUSG00000117401,4833419F23Rik
ENSMUSG00000117864,Gm19500
ENSMUSG00000117917,Gm18087
ENSMUSG00000117926,C030004G16Rik
ENSMUSG00000119149,Gm26189
ENSMUSG00000120068,Gm56647
ENSMUSG00000120094,Gm57161
ENSMUSG00000120361,Gm56889
ENSMUSG00000120372,Gm57122
ENSMUSG00000120379,Gm56534
ENSMUSG00000120441,Gm57424
ENSMUSG00000120601,Gm30307
ENSMUSG00000121217,Gm57396
ENSMUSG00002075524,Gm55094
ENSMUSG00002076153,Gm56022
ENSMUSG00002076648,Gm54530
ENSMUSG00002076809,Gm54754
