"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"8","Frmd4a",0,-6.4297081090269,0.535,0.215,0
"10","Nkain2",0,-13.6169979096562,0.519,0.213,0
"16","Dok6",0,-7.46404595147882,0.387,0.093,0
"18","Pcdh7",0,-54.0606635048285,0.446,0.153,0
"30","Robo2",0,-12.1988979770989,0.357,0.086,0
"37","Ccdc88a",0,-13.243755202337,0.47,0.209,0
"38","Gabra6",0,-2.82534772414604,0.237,0.498,0
"53","Prkg1",0,-130.501481622501,0.36,0.114,0
"55","Bc1",0,-1.46610716852127,0.475,0.234,0
"57","Nrg1",0,-38.1428141975852,0.434,0.194,0
"63","Tenm3",0,-25.18474364053,0.319,0.083,0
"69","Erc2",0,-43.8696824196031,0.547,0.319,0
"71","Xkr4",0,-2.10028393641255,0.591,0.368,0
"74","Adgrl3",0,-10.7578111877016,0.714,0.518,0
"81","Arhgap32",7.86114097021549e-298,-1.15466346086699,0.337,0.112,2.52892905011832e-293
"83","Gabrb1",3.26804091733535e-290,-6.42986066250053,0.451,0.208,1.05132876310678e-285
"88","Nrg3",1.27090877557361e-280,-300.739496450322,0.72,0.622,4.08851353102029e-276
"91","Meg3",1.81108985346166e-279,-62.6948147036971,0.772,0.719,5.82627605858617e-275
"94","Etv1",3.24466401027968e-272,-0.817736790887752,0.315,0.557,1.04380841210697e-267
"99","Sgcd",2.11429746963972e-265,-36.7166157673407,0.3,0.094,6.80169495983098e-261
"101","Slc24a2",4.41126835004306e-259,-30.4084069484077,0.414,0.172,1.41910502820885e-254
"104","Olfm3",5.144890769381e-254,-8.94891824125551,0.525,0.747,1.65511136050987e-249
"105","Tenm2",5.24162442368502e-254,-3.54431802724997,0.622,0.479,1.68623057709947e-249
"106","Plxna4",9.00874612874615e-254,-3.54413505679524,0.358,0.145,2.89811362961764e-249
"124","Edil3",4.6318967218274e-219,-13.5995831920458,0.36,0.149,1.49008117541187e-214
"125","B3galt1",1.49394744761944e-217,-50.9685770870108,0.562,0.363,4.80602893899174e-213
"127","Zfp521",1.00603298889724e-212,-15.9857558531772,0.349,0.56,3.23640812528241e-208
"129","Alcam",2.31314951377101e-209,-28.5127375625752,0.318,0.134,7.44140198580133e-205
"130","Kcnq1ot1",2.07895165074636e-200,-29.5128287517987,0.482,0.292,6.68798746045104e-196
"132","Gm2694",3.05646630343582e-200,-1.41933225711761,0.171,0.35,9.83265209815303e-196
"133","Tnr",1.17350046112846e-198,-3.4712469698957,0.385,0.199,3.77515098345027e-194
"142","Nebl",4.87100437649258e-189,-0.682156150397873,0.378,0.184,1.56700210791766e-184
"143","Fat2",8.28959259764757e-188,-0.860638515643595,0.147,0.315,2.66676193866322e-183
"152","Hdac9",2.45750809694192e-178,-2.10161972539868,0.408,0.236,7.90580354786217e-174
