,gene_name,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
1,Lrrc7,0,97.47854023,0.446,0.102,0
2,Mdga2,0,31.08036295,0.594,0.25,0
3,Grm5,0,20.97180947,0.444,0.11,0
4,Sntg1,0,36.85113425,0.446,0.116,0
5,Grin2b,0,85.54673659,0.45,0.122,0
6,Kcnma1,0,5.111852218,0.483,0.156,0
7,Lrfn5,0,11.31201258,0.444,0.123,0
9,Agbl4,0,28.16295956,0.411,0.097,0
11,Kalrn,0,33.07544807,0.404,0.099,0
12,Dlgap2,0,57.0483702,0.367,0.063,0
13,Epha5,0,28.22115771,0.397,0.095,0
14,Lrrtm4,0,64.26234889,0.444,0.149,0
15,Grid1,0,11.74215454,0.419,0.124,0
17,Dscam,0,9.321139359,0.425,0.131,0
19,Tenm4,0,1.799138332,0.379,0.092,0
20,Tanc2,0,10.8834437,0.491,0.204,0
21,Grm7,0,89.64224668,0.423,0.138,0
22,Asic2,0,214.302148,0.46,0.177,0
23,Sgcz,0,308.0773181,0.407,0.124,0
24,Lingo2,0,149.3808478,0.405,0.123,0
25,Kcnh7,0,29.70776508,0.354,0.072,0
26,Frmpd4,0,207.0889799,0.427,0.147,0
27,Chn2,0,1.569824334,0.442,0.718,0
28,Grip1,0,231.6149736,0.377,0.105,0
29,A230006K03Rik,0,20.97828974,0.33,0.059,0
31,Kctd16,0,91.67331115,0.352,0.083,0
32,1-Mar,0,46.94163485,0.392,0.124,0
33,Gria3,0,11.36515468,0.363,0.095,0
34,Atrnl1,0,28.12276978,0.36,0.093,0
35,Gabrg3,0,98.88700577,0.331,0.067,0
36,Gria1,0,6.55454166,0.377,0.113,0
39,Plcb1,0,75.80383436,0.547,0.29,0
40,Snhg11,0,8.273506013,0.534,0.277,0
41,Kcnq5,0,228.7295836,0.325,0.069,0
42,Etl4,0,93.11756468,0.349,0.093,0
43,Pam,0,11.7178576,0.364,0.109,0
44,Cttnbp2,0,14.94041131,0.398,0.144,0
45,Tjp1,0,1.728747863,0.487,0.234,0
46,Ppp2r2b,0,10.88256999,0.476,0.223,0
47,Cacnb2,0,74.30767558,0.357,0.105,0
48,Sorbs2,0,28.38853561,0.44,0.19,0
49,Epha6,0,48.4628002,0.318,0.068,0
50,Cntn5,0,108.984579,0.329,0.08,0
51,Prickle2,0,62.81812318,0.388,0.14,0
52,Prickle1,0,10.44242256,0.383,0.136,0
54,Gm26871,0,124.8555406,0.337,0.093,0
56,Cdk14,0,28.09425479,0.366,0.126,0
58,Ahi1,0,61.37670124,0.562,0.323,0
59,Csrnp3,0,4.558968359,0.381,0.143,0
60,Pcdh15,0,123.4092739,0.345,0.107,0
61,Slc35f1,0,21.24283651,0.318,0.081,0
62,Ppm1e,0,9.15620018,0.385,0.149,0
64,Pak3,0,20.80016927,0.302,0.068,0
65,Dcc,0,13.79427233,0.359,0.126,0
66,Cntn3,0,10.32129213,0.317,0.087,0
67,Mgat4c,0,26.68219878,0.331,0.101,0
