mouse_gene,human_gene,confidence
Lrrc7,LRRC7,1
Mdga2,MDGA2,1
Grm5,GRM5,1
Sntg1,SNTG1,1
Grin2b,GRIN2B,1
Kcnma1,KCNMA1,1
Lrfn5,LRFN5,1
Frmd4a,FRMD4A,1
Agbl4,AGBL4,1
Nkain2,NKAIN2,1
Kalrn,KALRN,1
Dlgap2,DLGAP2,1
Epha5,EPHA5,1
Lrrtm4,LRRTM4,1
Grid1,GRID1,1
Dok6,DOK6,1
Dscam,DSCAM,1
Pcdh7,PCDH7,1
Tenm4,TENM4,1
Tanc2,TANC2,1
Grm7,GRM7,1
Asic2,ASIC2,1
Sgcz,SGCZ,1
Lingo2,LINGO2,1
Kcnh7,KCNH7,1
Frmpd4,FRMPD4,1
Chn2,CHN2,1
Grip1,GRIP1,1
A230006K03Rik,Not found,
Robo2,ROBO2,1
Kctd16,Not found,
Kctd16,KCTD16,1
1-Mar,Not found,N/A
Gria3,GRIA3,1
Atrnl1,ATRNL1,1
Gabrg3,GABRG3,1
Gria1,GRIA1,1
Ccdc88a,CCDC88A,1
Gabra6,GABRA6,1
Plcb1,PLCB1,1
Snhg11,Not found,
Kcnq5,KCNQ5,1
Etl4,KIAA1217,1
Pam,PAM,1
Cttnbp2,CTTNBP2,1
Tjp1,TJP1,1
Ppp2r2b,PPP2R2B,1
Cacnb2,CACNB2,1
Sorbs2,SORBS2,1
Epha6,EPHA6,1
Cntn5,CNTN5,1
Prickle2,PRICKLE2,1
Prickle1,PRICKLE1,1
Prkg1,PRKG1,1
Gm26871,Not found,
Bc1,Not found,
Cdk14,CDK14,1
Nrg1,NRG1,1
Nrg1,Not found,1
Ahi1,AHI1,1
Csrnp3,CSRNP3,1
Pcdh15,PCDH15,1
Slc35f1,SLC35F1,1
Ppm1e,PPM1E,1
Tenm3,TENM3,1
Pak3,PAK3,1
Dcc,DCC,1
Cntn3,CNTN3,1
Mgat4c,MGAT4C,1
AC149090.1,Not found,N/A
Erc2,ERC2,1
Csmd1,CSMD1,1
Xkr4,XKR4,1
Csmd3,CSMD3,1
Dmd,DMD,1
Adgrl3,ADGRL3,1
Nav3,NAV3,1
Gria2,GRIA2,1
Dlg2,DLG2,1
Dgkb,DGKB,1
Ptprn2,PTPRN2,1
Mef2c,MEF2C,1
Arhgap32,ARHGAP32,1
Mir100hg,Not found,
Gabrb1,GABRB1,1
Fat3,FAT3,1
Rasal2,RASAL2,1
Thrb,THRB,1
Mir99ahg,Not found,
Nrg3,NRG3,1
Abr,ABR,1
Lrp1b,LRP1B,1
Meg3,Not found,
Robo1,ROBO1,1
Kcnq3,KCNQ3,1
Etv1,ETV1,1
Nlgn1,NLGN1,1
Cadps,Not found,
Lhfp,Not found,N/A
Prkn,PRKN,1
Sgcd,SGCD,1
Large1,LARGE1,1
Slc24a2,SLC24A2,1
Chd7,CHD7,1
Asap1,ASAP1,1
Olfm3,OLFM3,1
Tenm2,TENM2,1
Plxna4,PLXNA4,1
Myt1l,MYT1L,1
Phactr1,PHACTR1,1
Hecw1,HECW1,1
Sipa1l1,SIPA1L1,1
Ncam2,NCAM2,1
Cdh10,CDH10,1
Klf12,KLF12,1
Mast4,MAST4,1
Celf2,CELF2,1
Rian,Not found,
Tnrc6c,TNRC6C,1
Dgki,DGKI,1
Dclk1,DCLK1,1
Aff3,AFF3,1
Mmp16,MMP16,1
Reln,RELN,1
Astn1,ASTN1,1
Edil3,EDIL3,1
B3galt1,B3GALT1,1
Klhl29,KLHL29,1
Zfp521,ZNF521,1
Trim9,TRIM9,1
Alcam,ALCAM,1
Kcnq1ot1,Not found,
B830012L14Rik,Not found,
Gm2694,Not found,N/A
Tnr,TNR,1
Cmip,CMIP,1
Rbm39,RBM39,1
Kcnb2,Not found,
Nlk,NLK,1
Cacna1b,CACNA1B,1
Pex5l,PEX5L,1
Cit,CIT,1
Fam155a,Not found,N/A
Nebl,NEBL,1
Fat2,FAT2,1
Dab1,DAB1,1
R3hdm1,R3HDM1,1
Ctnna2,CTNNA2,1
Csmd2,CSMD2,1
Cadps2,CADPS2,1
Zeb2,ZEB2,1
Stau2,STAU2,1
Macrod2,MACROD2,1
Hdac9,HDAC9,1
Rsrp1,RSRP1,1
Dip2c,DIP2C,1
Ptprd,PTPRD,1
Spock3,SPOCK3,1
Gm42418,Not found,N/A
Pbx1,PBX1,1
Apc,APC,1
Grm4,GRM4,1
Fbxl17,FBXL17,1
Lncpint,Not found,
Arglu1,ARGLU1,1
Unc13c,UNC13C,1
Srek1,Not found,
Slc8a1,SLC8A1,1
Btg1,BTG1,1
Ank3,ANK3,1
Ryr3,RYR3,1
Xist,Not found,
Gtdc1,GTDC1,1
Zic1,ZIC1,1
Ube3a,UBE3A,1
Mycbp2,MYCBP2,1
Kidins220,KIDINS220,1
Ube2e2,UBE2E2,1
Akap6,AKAP6,1
Enah,ENAH,1
Cacna2d3,CACNA2D3,1
Ptk2,PTK2,1
Tmem178b,TMEM178B,1
Prkca,PRKCA,1
Ctnnd2,CTNND2,1
2210408I21Rik,KIAA0825,1
Cacna1d,CACNA1D,1
Mbd5,MBD5,1
Dync1i2,DYNC1I2,1
Jazf1,JAZF1,1
Tnik,TNIK,1
Dock7,DOCK7,1
Slc4a10,SLC4A10,1
Nsf,NSF,1
Galntl6,GALNTL6,1
Unc79,UNC79,1
Fmn2,FMN2,1
Stmn2,STMN2,1
Nbea,NBEA,1
Cplane1,CPLANE1,1
Nktr,NKTR,1
Mrtfb,MRTFB,1
Reps2,REPS2,1
Ubr3,UBR3,1
Opcml,OPCML,1
Magi2,MAGI2,1
Ssbp2,SSBP2,1
Caln1,CALN1,1
Pabpn1,PABPN1,1
Hs6st3,HS6ST3,1
Sgip1,SGIP1,1
Kctd8,KCTD8,1
Rmdn1,RMDN1,1
Pi4ka,PI4KA,1
Garnl3,GARNL3,1
Focad,FOCAD,1
Eml6,EML6,1
Strbp,STRBP,1
Il1rapl1,IL1RAPL1,1
4930402H24Rik,Not found,N/A
Ppp1r9a,PPP1R9A,1
Dock3,DOCK3,1
St18,ST18,1
Zbtb20,ZBTB20,1
Etnk1,ETNK1,1
Gucy1a2,GUCY1A2,1
Ror1,ROR1,1
Tcf20,TCF20,1
Ogt,OGT,1
Dpp10,DPP10,1
Dpf3,DPF3,1
Ank2,ANK2,1
Trmt9b,TRMT9B,1
Mirg,Not found,
Sema6d,SEMA6D,1
Rabep1,RABEP1,1
Tenm1,TENM1,1
Adgrb3,ADGRB3,1
Atxn1,ATXN1,1
Usp29,USP29,0
Ralgapa2,RALGAPA2,1
Dennd1a,DENND1A,1
Zcchc7,ZCCHC7,1
Samd12,SAMD12,1
Ptprg,PTPRG,1
Adcy1,ADCY1,1
Exoc6b,EXOC6B,1
Vps13b,VPS13B,1
Cdr1os,Not found,
Snhg14,Not found,
Ttc14,TTC14,1
Atp2c1,ATP2C1,1
Dync2h1,DYNC2H1,1
Atp1a1,ATP1A1,1
Chd9,CHD9,1
Kcnn2,KCNN2,1
Gm47283,Not found,N/A
Usp3,USP3,1
Eml5,EML5,1
Pld5,PLD5,1
Ahcyl2,AHCYL2,1
Phf20l1,PHF20L1,1
Cpeb3,CPEB3,1
Dennd4a,DENND4A,1
Pja2,PJA2,1
Frmd5,FRMD5,1
Nyap2,NYAP2,1
Luc7l2,LUC7L2,1
Lsamp,LSAMP,1
Atp8a2,ATP8A2,1
Usp34,USP34,1
Camk4,CAMK4,1
Vps13a,VPS13A,1
Nf1,NF1,1
Immp2l,IMMP2L,1
Abi2,ABI2,1
Nol4,NOL4,1
Tll1,TLL1,1
Ntrk2,NTRK2,1
Ppp1r12a,PPP1R12A,1
Herc1,HERC1,1
Tia1,TIA1,1
1110051M20Rik,Not found,N/A
Zfr,ZFR,1
Dscaml1,DSCAML1,1
Atp9b,ATP9B,1
Ttc3,TTC3,1
Ecpas,ECPAS,1
Rbm26,RBM26,1
Meis1,MEIS1,1
Wdr7,WDR7,1
Nr6a1,NR6A1,1
Npas3,NPAS3,1
Sclt1,SCLT1,1
Ehbp1,EHBP1,1
Dzip3,DZIP3,1
Ralgapa1,RALGAPA1,1
Myo5a,MYO5A,1
Scn1a,SCN1A,1
Farp1,FARP1,1
Plcxd3,PLCXD3,1
Ulk2,ULK2,1
Lin7a,LIN7A,1
Atxn2,ATXN2,1
Trip12,TRIP12,1
Cntnap2,CNTNAP2,1
Fry,FRY,1
Upp2,UPP2,1
Fgf12,FGF12,1
Tbc1d5,TBC1D5,1
Srrm2,SRRM2,1
Ankrd17,ANKRD17,1
Cadm3,CADM3,1
Myo9a,MYO9A,1
Trim2,TRIM2,1
Synj1,SYNJ1,1
C130071C03Rik,Not found,N/A
Sbf2,SBF2,1
Kif21a,KIF21A,1
Astn2,ASTN2,1
Tra2a,TRA2A,1
Gabrb3,GABRB3,1
Prrc2c,PRRC2C,1
Kcnd2,KCND2,1
Scai,SCAI,1
Sptbn1,SPTBN1,1
Ptbp2,PTBP2,1
Itm2b,ITM2B,1
4932438A13Rik,Not found,N/A
Zswim6,ZSWIM6,1
Ttc7b,TTC7B,1
Phf14,PHF14,1
Dcaf6,DCAF6,1
Camk1d,CAMK1D,1
Srpk2,SRPK2,1
Rabgap1,RABGAP1,1
Fam172a,Not found,N/A
Acap2,ACAP2,1
Cdk12,CDK12,1
Dtnb,Not found,
Arl15,ARL15,1
Nrcam,NRCAM,1
Herc2,HERC2,1
Slc4a4,SLC4A4,1
Kifap3,KIFAP3,1
Cntn6,CNTN6,1
Dync1i1,DYNC1I1,1
Braf,BRAF,1
Trpm3,TRPM3,1
Srrm1,SRRM1,1
Macf1,MACF1,1
Magi1,MAGI1,1
Mbnl2,MBNL2,1
Usp32,USP6,0
Usp32,USP32,1
Ttc19,TTC19,1
Kcnc1,KCNC1,1
Rasgrf1,RASGRF1,1
Nfia,NFIA,1
Vwa8,VWA8,1
Ncoa1,NCOA1,1
Pde1c,PDE1C,1
Hivep3,HIVEP3,1
Psmd14,PSMD14,1
Stox2,STOX2,1
Cadm1,CADM1,1
Atp11b,ATP11B,1
Srsf11,SRSF11,1
Vti1a,VTI1A,1
Acaca,ACACA,1
Kmt2a,KMT2A,1
Zmynd8,ZMYND8,1
Ankrd12,ANKRD12,1
Ptprs,PTPRS,1
Nalcn,NALCN,1
Ndfip1,NDFIP1,1
Car10,CA10,1
Mtf2,MTF2,1
Ascc3,ASCC3,1
Megf11,MEGF11,1
Akap8l,AKAP8L,1
Tnrc6a,TNRC6A,1
Lrba,LRBA,1
Rbm25,RBM25,1
Mapk10,MAPK10,1
Setd5,SETD5,1
Plcl1,PLCL1,1
Patj,PATJ,1
Peg3,PEG3,1
Scmh1,SCMH1,1
Ccser1,CCSER1,1
Sobp,SOBP,1
Exoc4,EXOC4,1
Cdh2,CDH2,1
Ylpm1,YLPM1,1
Kat6b,KAT6B,1
Btrc,BTRC,1
Dis3l2,DIS3L2,1
Rere,RERE,1
A330023F24Rik,Not found,
Gls,GLS,1
Tmem132a,TMEM132A,1
Klhdc10,KLHDC10,1
Strn3,STRN3,1
Stxbp5,STXBP5,1
Cask,CASK,1
A230057D06Rik,Not found,
Tom1l2,TOM1L2,1
Pde4dip,PDE4DIP,1
Ints6,INTS6,1
Zmym4,ZMYM4,1
Myef2,MYEF2,1
Grin1,GRIN1,1
Chd6,CHD6,1
Esyt2,ESYT2,1
Umad1,UMAD1,1
Foxp1,FOXP1,1
Ralgapb,RALGAPB,1
Map2,MAP2,1
Apbb2,APBB2,1
Ckb,CKB,1
Cspp1,CSPP1,1
Celf4,CELF4,1
Plcb4,PLCB4,1
Ddx50,DDX50,1
Usp9x,USP9X,1
Clk1,CLK1,1
Adam23,ADAM23,1
Ndst3,NDST3,1
Ptprt,PTPRT,1
Faf1,FAF1,1
Bclaf1,BCLAF1,1
Slc9a9,SLC9A9,1
Nt5c2,NT5C2,1
Mast2,MAST2,1
Sphkap,SPHKAP,1
Mctp1,MCTP1,1
Plekha5,PLEKHA5,1
Nav2,NAV2,1
Cadm2,CADM2,1
Ablim1,ABLIM1,1
Arfgef1,ARFGEF1,1
Dmxl2,DMXL2,1
Camta1,CAMTA1,1
Tmeff2,TMEFF2,1
Dnmt3a,DNMT3A,1
Clstn2,CLSTN2,1
Cntn1,CNTN1,1
Ktn1,KTN1,1
Zmym2,ZMYM2,1
Snap91,SNAP91,1
Syt1,SYT1,1
Wscd2,WSCD2,1
Rsrc1,RSRC1,1
Polb,POLB,1
Scaper,SCAPER,1
Map2k4,MAP2K4,1
Trpm7,TRPM7,1
Bcas3,BCAS3,1
Nsd2,NSD2,1
Dmxl1,DMXL1,1
Mical3,MICAL3,1
Aopep,AOPEP,1
Grid2,GRID2,1
Tmem135,TMEM135,1
Dennd1b,DENND1B,1
Ralgps1,RALGPS1,1
Cntn4,CNTN4,1
Gnaq,Not found,
Atp6v0b,ATP6V0B,1
St7,ST7,1
Gabbr2,GABBR2,1
Cop1,COP1,1
Scaf8,SCAF8,1
Ksr2,KSR2,1
Zfp638,ZNF638,1
Fubp1,FUBP1,1
Ago3,AGO3,1
Map1b,MAP1B,1
Arid4b,ARID4B,1
Gpm6b,GPM6B,1
Epb41,EPB41,1
Atp6v0a1,ATP6V0A1,1
Birc6,BIRC6,1
Nr3c2,NR3C2,1
Dnajc6,DNAJC6,1
Ncoa2,NCOA2,1
Gmds,GMDS,1
Slc25a12,SLC25A12,1
Tsc22d1,TSC22D1,1
Ppfia2,PPFIA2,1
Pbrm1,PBRM1,1
Fto,FTO,1
Pcsk1n,PCSK1N,1
Cdkl5,CDKL5,1
Asb3,ASB3,1
Tnrc6b,TNRC6B,1
5330434G04Rik,Not found,
Rif1,RIF1,1
Zfpm2,ZFPM2,1
Spag9,SPAG9,1
Atp1b1,ATP1B1,1
Pnisr,PNISR,1
Limch1,LIMCH1,1
Rapgef2,RAPGEF2,1
Arhgef12,ARHGEF12,1
Sltm,SLTM,1
Ccny,CCNY,1
Smg6,SMG6,1
Gsk3b,GSK3B,1
Hecw2,HECW2,1
A330076H08Rik,Not found,
Osbpl8,OSBPL8,1
Kmt2e,KMT2E,1
Ppp2r3a,PPP2R3A,1
Atp2b1,ATP2B1,1
Nbeal1,NBEAL1,1
Enox1,ENOX1,1
Galnt13,GALNT13,1
Pcsk2,PCSK2,1
Slf2,SLF2,1
C2cd5,C2CD5,1
Pafah1b1,PAFAH1B1,1
Runx1t1,RUNX1T1,1
